Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,2088850000,-1887659596,318457700,-1
0,1,STEP,-1887011696,-1883874596,3137100,-1
1,1,STEP,-1883641696,-1881864396,1777300,-1
2,1,STEP,-1881653396,-1879849396,1804000,-1
3,1,STEP,-1879620096,-1877988496,1631600,-1
4,1,STEP,-1877776696,-1876259896,1516800,-1
5,1,STEP,-1876032396,-1874644396,1388000,-1
6,1,STEP,-1874425396,-1873023996,1401400,-1
7,1,STEP,-1872812996,-1871412596,1400400,-1
8,1,STEP,-1871198296,-1869952896,1245400,-1
9,1,STEP,-1869755596,-1868383096,1372500,-1
10,1,STEP,-1868158296,-1866593696,1564600,-1
11,1,STEP,-1866304496,-1864553096,1751400,-1
12,1,STEP,-1864233196,-1862222696,2010500,-1
13,1,STEP,-1861856096,-1860026496,1829600,-1
14,1,STEP,-1859513296,-1857897496,1615800,-1
15,1,STEP,-1857520896,-1855334596,2186300,-1
16,1,STEP,-1854968996,-1852882196,2086800,-1
17,1,STEP,-1852547496,-1851206296,1341200,-1
18,1,STEP,-1850954896,-1849425596,1529300,-1
19,1,STEP,-1849130796,-1847667296,1463500,-1
20,1,STEP,-1847286496,-1844836096,2450400,-1
21,1,STEP,-1844421196,-1841761796,2659400,-1
22,1,STEP,-1841516596,-1838978396,2538200,-1
23,1,STEP,-1838493796,-1836274396,2219400,-1
24,1,STEP,-1835947696,-1834691396,1256300,-1
25,1,STEP,-1834452596,-1832456596,1996000,-1
26,1,STEP,-1831961796,-1830162996,1798800,-1
27,1,STEP,-1829750396,-1827436096,2314300,-1
28,1,STEP,-1827067596,-1825408596,1659000,-1
29,1,STEP,-1824973296,-1822864496,2108800,-1
30,1,STEP,-1821721596,-1819953996,1767600,-1
31,1,STEP,-1819478896,-1817838596,1640300,-1
32,1,STEP,-1817429296,-1815813996,1615300,-1
33,1,STEP,-1815498096,-1813562996,1935100,-1
34,1,STEP,-1813232196,-1811496496,1735700,-1
